ids,conc
P0A8V2,5.03E-06
P0AFG8,8.20E-06
P36683,7.70E-06
P0A6F5,2.47E-05
P0A6Y8,1.74E-05
P05793,2.64E-05
P23847,1.07E-05
P25665,2.49E-05
P0A8T7,1.18E-06
P00968,3.69E-06
P0AG67,2.73E-05
P0A9Q7,5.66E-06
P0A6M8,2.77E-05
P00957,3.11E-06
P08839,9.10E-06
P0ABB4,2.02E-05
P23843,1.21E-05
P0A6B7,1.27E-05
P08200,2.95E-05
P0A850,1.75E-05
P0CE47,9.72E-05
P06959,7.30E-06
P05055,7.09E-06
P09373,3.89E-06
P00961,3.06E-06
P0ABB0,1.73E-05
P0A6Z3,3.76E-06
P0A825,3.01E-05
P0A6E4,1.13E-05
P16659,5.55E-06
P0AFG3,2.08E-06
P0A6F3,1.23E-06
P0A799,2.86E-05
P25553,3.84E-06
P0A6P9,2.98E-05
P0A9C5,2.34E-05
P00370,1.35E-05
P09832,7.50E-06
P00350,1.69E-05
P0A9B2,4.57E-05
P0AD61,9.62E-06
P0A940,2.53E-06
P0A9G6,2.54E-05
P0A7D4,1.09E-05
P15639,5.16E-06
P0AC41,3.40E-06
P0AEE5,2.84E-06
P13035,2.60E-07
P0A6P1,2.10E-05
P27302,5.51E-06
P09151,4.41E-06
P21889,2.60E-06
P0A817,1.48E-05
P0A9A6,6.81E-06
P0AG30,4.92E-06
P37689,4.79E-06
P0AC33,2.11E-06
P13029,1.82E-06
P23865,1.32E-06
P61889,3.33E-05
P32132,4.06E-06
P07395,3.78E-06
P22259,3.05E-06
P00962,2.44E-06
P37330,1.03E-06
P76558,8.51E-07
P0A9P0,1.35E-05
P37902,5.84E-06
P21513,1.52E-06
P23538,1.38E-06
P17846,3.26E-06
P0A9M0,1.46E-06
P0AFF6,4.17E-06
P0ABZ6,3.82E-06
P0A9W3,3.37E-06
P0AEX9,1.37E-06
P00509,6.96E-06
P04816,6.10E-06
P38038,5.38E-06
P16700,5.01E-06
P0AG80,1.74E-06
P00864,1.07E-06
P0AB71,2.43E-05
P0A786,2.20E-05
P0A953,2.02E-05
P00934,1.06E-05
P0ABH7,6.32E-06
P0A8L1,3.75E-06
P04805,3.40E-06
P33136,3.08E-06
P36938,2.16E-06
P26616,1.77E-06
P0AES6,1.53E-06
P15254,6.54E-07
P0ABK5,4.74E-05
P62399,2.71E-05
P0A7L0,1.73E-05
P0A7Z4,1.52E-05
P23721,1.47E-05
P0A870,1.38E-05
P0AEQ3,7.41E-06
P08142,3.19E-06
P0A7E5,2.48E-06
P0A9M8,2.05E-06
P19926,1.41E-06
P09831,7.17E-07
P08331,5.08E-07
P0A853,4.84E-07
P0AD96,3.70E-05
P0A9Q9,2.35E-05
P0A8N3,3.25E-06
P76108,9.00E-07
P0A6A3,5.06E-06
P0AEM9,4.81E-06
P0C0V0,4.30E-06
P0A6H1,3.75E-06
P77239,3.56E-06
P04079,3.33E-06
P0ADG4,3.07E-06
P06149,9.39E-07
P00582,6.84E-07
P33602,6.61E-07
P13009,5.10E-07
P0A8F0,1.93E-05
P18335,7.19E-06
P05020,6.79E-06
P0ABA6,4.96E-06
P37329,2.53E-06
P0A6H5,2.47E-06
P30850,1.83E-06
P0C8J8,1.71E-06
P33570,1.66E-06
P27306,1.07E-06
P0A8M3,8.87E-07
P10408,7.02E-07
P25516,3.65E-07
P0C8J6,6.68E-06
P0A879,6.55E-06
P0AEZ1,6.19E-06
P09551,5.84E-06
P15288,4.94E-06
P75691,3.80E-06
P0A6K6,3.09E-06
P07014,2.63E-06
P31120,2.08E-06
P10121,2.03E-06
P0AFK0,1.76E-06
P0ABH9,1.05E-06
P13482,5.39E-07
P27550,3.06E-07
P76128,2.12E-07
P0A698,5.64E-08
P02358,2.97E-05
P0A858,1.43E-05
P0A7D7,1.06E-05
P30125,8.77E-06
P0A836,6.49E-06
P08312,5.47E-06
P37666,5.14E-06
P0A6A6,4.96E-06
P0A8M0,4.47E-06
P30859,4.29E-06
P24182,2.90E-06
P21599,2.85E-06
P35340,2.47E-06
P0AC53,1.50E-06
P11875,1.23E-06
P76193,1.05E-06
P0A9P6,9.05E-07
P33363,4.48E-07
P0A6F1,1.41E-05
P0AEK4,1.14E-05
P0AAB6,6.19E-06
P0A8W8,3.62E-06
P67910,3.62E-06
P08506,1.91E-06
P21888,1.36E-06
P00956,4.99E-07
P0A7V0,2.32E-05
P0AEU0,1.00E-05
P0AGE9,9.91E-06
P0AB91,9.81E-06
P0A717,9.29E-06
P0A6T5,8.30E-06
P0A805,8.07E-06
P69441,7.65E-06
P00448,6.87E-06
P18843,5.97E-06
P02925,5.80E-06
P0A855,5.31E-06
P0A796,4.68E-06
P0ABU2,4.28E-06
P76177,4.12E-06
P0ABD5,3.93E-06
P0ADE8,3.70E-06
P09424,1.66E-06
P77804,1.47E-06
P0AB24,1.14E-06
P0A9P9,9.98E-07
P62707,1.82E-05
P09372,9.15E-06
P0AAI9,8.75E-06
P0AFG0,8.01E-06
P0A9X4,6.81E-06
P0A715,5.01E-06
P0ACJ8,4.99E-06
P76116,4.86E-06
P21156,4.33E-06
P0A910,4.23E-06
P0AEB2,2.68E-06
P21165,2.30E-06
P0A7E1,2.12E-06
P0A867,2.11E-06
P0AFK9,2.10E-06
P07004,1.92E-06
P37744,1.74E-06
P17169,1.31E-06
P0AC38,1.11E-06
P00579,1.11E-06
P0A7W7,1.50E-05
P61517,6.49E-06
P0AEP3,5.63E-06
P52697,5.60E-06
P38489,5.00E-06
P0ADG7,3.70E-06
P31133,3.41E-06
P0AA16,2.72E-06
Q46856,2.31E-06
P0A9D2,2.26E-06
P37747,2.25E-06
P37759,1.95E-06
P0AB89,1.92E-06
P0A6Z1,1.46E-06
P0ADX7,1.20E-06
P07650,6.89E-07
P77554,5.32E-07
P39346,4.55E-07
P0AGC3,3.27E-07
P07762,8.06E-08
P0AE08,4.08E-05
P0A9D8,1.26E-05
P60438,1.25E-05
P45578,9.88E-06
P0A8E7,8.34E-06
P69797,4.26E-06
P0AEZ3,3.98E-06
P0A9K3,2.55E-06
P0A6D3,2.40E-06
P31663,2.35E-06
P09147,2.08E-06
P0A6L0,1.87E-06
P28304,1.50E-06
D9IX93,1.38E-06
P76658,1.32E-06
P0ACC7,1.22E-06
P23839,1.13E-06
P33232,5.96E-07
P05042,5.58E-07
P77318,2.32E-07
P69783,2.24E-05
P0A877,8.32E-06
P0A9T0,7.21E-06
P0AEK2,6.19E-06
P45523,5.89E-06
P0ADE6,5.46E-06
P00954,4.42E-06
P0A7G2,4.01E-06
P0A9C3,2.65E-06
P0A9J8,2.56E-06
P11447,2.30E-06
P60906,1.79E-06
P0A847,1.22E-06
P39099,1.08E-06
P07024,1.06E-06
P05791,9.54E-07
P39325,9.11E-07
P02924,7.49E-07
P16681,7.10E-07
P0ACY3,5.31E-07
P39180,2.72E-07
P0AB77,2.68E-07
P0AG55,3.28E-05
P0AF96,2.96E-05
P0A7W1,2.52E-05
P68919,1.81E-05
P0A6Q3,9.18E-06
P30860,8.63E-06
P0A7A9,7.59E-06
P0A9P4,5.18E-06
P0ABD8,4.67E-06
P0A6W5,4.60E-06
P23908,3.22E-06
P0AE18,3.15E-06
P77395,3.14E-06
P0ACA7,3.02E-06
P23893,2.94E-06
P07012,2.65E-06
P04693,2.52E-06
P30177,1.82E-06
P0AGD1,1.37E-06
P62620,1.24E-06
P76015,1.16E-06
Q46857,1.02E-06
P0A7I4,9.16E-07
P00959,8.62E-07
P39172,8.56E-07
P08997,7.81E-07
P37648,6.23E-07
P27298,4.46E-07
P18956,3.96E-07
P0A7F3,1.87E-05
P0A8G6,1.07E-05
P61175,8.47E-06
P11446,6.47E-06
P63224,5.25E-06
P02359,5.11E-06
P39831,5.00E-06
P0ACA3,4.95E-06
P0A9Q1,4.89E-06
P0AB80,4.25E-06
P0AAX8,4.22E-06
P60757,4.08E-06
P0AAI5,3.64E-06
P16703,3.44E-06
P0A6R0,3.27E-06
P15640,2.94E-06
P0A7F6,2.86E-06
P60560,2.60E-06
P00904,2.56E-06
P37051,2.41E-06
P36649,2.10E-06
P12008,1.63E-06
P0ACP7,1.53E-06
P0AGG8,1.17E-06
P0A9S3,9.28E-07
P25906,8.18E-07
P37349,7.82E-07
P0AFG6,7.73E-07
P0AFM2,5.82E-07
P0A9J6,5.45E-07
P25526,5.07E-07
P0A705,4.57E-07
P45464,4.57E-07
P09394,3.77E-07
P37387,2.37E-07
P0AES4,1.98E-07
P60240,1.39E-07
P0ADF6,1.35E-07
P09546,1.18E-07
P0A7K2,3.18E-05
P0ACF8,2.57E-05
P0AA10,2.18E-05
P0ACJ0,1.05E-05
P0ADN2,9.71E-06
P0A6X7,7.15E-06
P0A6C8,6.98E-06
P0A8P3,6.20E-06
P0ABA4,5.74E-06
P28635,4.81E-06
P0AEG4,4.46E-06
P0A9Q5,2.91E-06
P21367,2.83E-06
P23836,2.75E-06
P12758,2.67E-06
P17854,2.54E-06
P06999,2.53E-06
P00963,2.35E-06
P06986,2.20E-06
P30178,2.15E-06
P64451,2.09E-06
P0ABC7,1.79E-06
P00946,1.62E-06
P06715,1.31E-06
P21170,1.20E-06
P31142,1.19E-06
P0A993,1.08E-06
P0ABF6,1.05E-06
P00893,1.03E-06
P77735,9.80E-07
P29745,9.45E-07
P0AEI1,8.47E-07
P33362,8.38E-07
P37095,7.29E-07
P22188,5.74E-07
P0A6T3,5.69E-07
P06129,5.51E-07
P69811,4.69E-07
P77348,3.64E-07
P76149,2.79E-07
P07813,1.76E-07
P77737,8.07E-08
P77718,3.53E-08
P0AA04,3.11E-05
P0AED0,2.95E-05
P0A763,1.91E-05
P0A8M6,1.83E-05
P61714,1.25E-05
P23869,1.05E-05
P0AE52,8.10E-06
P0A955,7.67E-06
P0ABS1,7.33E-06
P0A8B5,7.18E-06
P0A6L2,5.72E-06
P0AFL3,5.55E-06
P08178,4.30E-06
P0ADF8,4.28E-06
P0AC59,4.04E-06
P31658,2.98E-06
P0A759,2.91E-06
P0ABU5,2.81E-06
P69407,2.72E-06
P0A9L8,2.50E-06
P39177,2.43E-06
P0A8X2,2.19E-06
P0A7G6,2.05E-06
P61316,1.98E-06
P0AAC0,1.86E-06
P37903,1.86E-06
Q46845,1.64E-06
P0A9M2,1.54E-06
P08244,1.53E-06
P0AFC7,1.52E-06
P0ABH0,1.41E-06
P08622,1.37E-06
P04425,1.35E-06
P03841,1.34E-06
P45577,1.31E-06
P0AGJ9,1.28E-06
P0ACB2,1.20E-06
P0ABU0,1.08E-06
P75823,1.07E-06
P0A7Y0,1.04E-06
P05459,9.72E-07
P77754,9.68E-07
P60716,8.74E-07
P76536,8.50E-07
P0A9U3,6.28E-07
P0A6J8,6.05E-07
P60785,5.85E-07
P46837,5.42E-07
P0A6T1,5.09E-07
P66948,4.57E-07
P24215,4.13E-07
P22256,3.99E-07
P04825,3.16E-07
P37692,3.15E-07
P22634,2.98E-07
P0A6J5,2.64E-07
P31554,2.25E-07
P0A6L4,1.90E-07
P00363,1.55E-07
P0A862,4.28E-05
P77214,2.69E-05
P60723,1.91E-05
P30126,7.34E-06
P0AET2,7.08E-06
P63020,6.86E-06
P69828,6.51E-06
P0A7Z0,6.14E-06
P0A9L3,5.49E-06
