,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9
P15254,0 -> -401.77,0 -> -401.77,0 -> -401.77,0 -> -401.77,0 -> -401.77,0 -> -401.97,0 -> -401.77,0 -> -401.77,0 -> -401.77,0 -> -401.97
P76503,1 -> -2449.66,,,,,,,,,
P0A6C5,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17,2 -> -9493.17
P17854,3 -> -4873.07,3 -> -4873.15,3 -> -4873.15,3 -> -4873.15,3 -> -4873.07,3 -> -4873.15,3 -> -4873.07,3 -> -4873.07,4 -> -4873.15,3 -> -4873.15
P0A7E3,4 -> -34825.02,5 -> -34825.02,5 -> -34825.02,5 -> -34825.02,5 -> -34825.02,5 -> -34825.02,4 -> -34825.02,5 -> -34825.02,7 -> -34825.02,5 -> -34825.02
P00561,5 -> -34428.08,4 -> -34428.20,4 -> -34428.20,4 -> -34428.20,4 -> -34428.08,4 -> -34428.20,5 -> -34428.08,4 -> -34428.08,8 -> -34428.20,4 -> -34428.20
P0A6X1,6 -> -151341.36,7 -> -151341.36,6 -> -151341.36,7 -> -151341.36,7 -> -151341.36,7 -> -151341.36,6 -> -151341.36,7 -> -151341.36,3 -> -151341.36,7 -> -151341.36
P09053,7 -> -117556.34,6 -> -117556.34,7 -> -117556.34,6 -> -117556.34,6 -> -117556.34,6 -> -117556.34,7 -> -117556.34,6 -> -117556.34,6 -> -117556.34,6 -> -117556.34
P77718,8 -> -193723.21,8 -> -193723.21,8 -> -193723.21,8 -> -193723.21,8 -> -193723.21,8 -> -193723.21,8 -> -193723.21,8 -> -193723.21,5 -> -193723.21,9 -> -193723.21
P23845,9 -> -337484.17,11 -> -337489.62,10 -> -337489.62,9 -> -337489.62,11 -> -337484.17,11 -> -337489.62,10 -> -337489.62,12 -> -337484.17,12 -> -337489.62,8 -> -337489.62
P09029,10 -> -47432.50,9 -> -47432.72,11 -> -47432.72,11 -> -47432.72,9 -> -47432.50,9 -> -47432.72,9 -> -47432.72,10 -> -47432.50,10 -> -47432.72,10 -> -47432.72
P0A6I9,11 -> -256914.20,10 -> -256914.20,12 -> -256914.20,12 -> -256914.20,10 -> -256914.20,10 -> -256914.20,13 -> -256914.20,11 -> -256914.20,11 -> -256914.20,11 -> -256914.20
P00934,12 -> -6524.22,14 -> -6524.22,13 -> -6524.22,14 -> -6524.22,13 -> -6524.22,12 -> -6524.22,14 -> -6524.22,13 -> -6524.22,13 -> -6524.22,12 -> -6524.22
P36683,13 -> -8788.31,,,,,,,,,
P0A725,14 -> -305304.58,13 -> -305304.58,15 -> -305304.58,13 -> -305304.58,15 -> -305304.58,14 -> -305304.58,18 -> -305304.58,15 -> -305304.58,15 -> -305304.58,14 -> -305304.58
P0AD68,15 -> -699587.03,19 -> -699587.03,19 -> -699587.03,20 -> -699587.03,19 -> -699587.03,18 -> -699587.03,19 -> -699587.03,19 -> -699587.03,19 -> -699587.03,18 -> -699587.03
P0AD65,16 -> -699587.03,16 -> -699587.03,16 -> -699587.03,17 -> -699587.03,16 -> -699587.03,15 -> -699587.03,11 -> -699587.03,16 -> -699587.03,16 -> -699587.03,15 -> -699587.03
P00547,17 -> -29848.36,17 -> -29848.36,17 -> -29848.36,18 -> -29848.36,17 -> -29848.36,16 -> -29848.36,16 -> -29848.36,17 -> -29848.36,17 -> -29848.36,16 -> -29848.36
P0A953,18 -> -3700.59,18 -> -3700.59,18 -> -3700.59,21 -> -3700.59,18 -> -3700.59,17 -> -3700.59,17 -> -3700.59,18 -> -3700.59,18 -> -3700.59,17 -> -3700.59
P0A6E4,19 -> -8363.23,21 -> -8363.23,21 -> -8363.23,22 -> -8363.23,20 -> -8363.23,19 -> -8363.23,20 -> -8363.23,20 -> -8363.23,20 -> -8363.23,20 -> -8363.23
P21151,,1 -> -2449.66,1 -> -2449.66,1 -> -2449.66,1 -> -2449.66,1 -> -2449.66,1 -> -2449.66,1 -> -2449.66,1 -> -2449.66,1 -> -2449.66
P21177,,12 -> -1335015.92,20 -> -1335011.99,10 -> -1335019.85,12 -> -1335015.92,21 -> -1335011.99,12 -> -1335019.85,9 -> -1335015.92,9 -> -1335019.85,19 -> -1335019.85
P25516,,15 -> -8788.31,14 -> -8788.31,16 -> -8788.31,14 -> -8788.31,13 -> -8788.31,15 -> -8788.31,14 -> -8788.31,14 -> -8788.31,13 -> -8788.31
P0AC75,,20 -> -1351939.25,9 -> -1351939.25,15 -> -1351939.25,,,,,,
P0AGG0,,,,19 -> -1017033.69,,,,,,
P22188,,,,,,20 -> -168414.25,,,,
