From	To
P0A8T7	rpoC
P0A8V2	rpoB
P36683	acnB
P15254	purL
P09831	gltB
P0AFG8	aceE
P0A9Q7	adhE
P0CE47	tufA
P25665	metE
P0A6F5	groL
P00968	carB
P09373	pflB
P0A6Y8	dnaK
P05793	ilvC
P0A705	infB
P00864	ppc
P0A6M8	fusA
P00957	alaS
P00961	glyS
P76558	maeB
P0AG67	rpsA
P07813	leuS
P00561	thrA
P0AFG3	sucA
P00956	ileS
P25553	aldA
P06959	aceF
P23847	dppA
P07395	pheT
P21889	aspS
P07118	valS
P10408	secA
P08200	icd
P0ABB4	atpD
P0AES4	gyrA
P13029	katG
P04825	pepN
P0A9G6	aceA
P0AD61	pykF
P09546	putA
P0AC33	fumA
P0A6P1	tsf
P08839	ptsI
P0A6Z3	htpG
P0A6E4	argG
P21179	katE
P0A6F3	glpK
P0A850	tig
P0A6T1	pgi
P05055	pnp
P0A9M8	pta
P0A940	bamA
P0AC41	sdhA
P27550	acs
P23538	ppsA
P04079	guaA
P0A9M0	lon
P22523	mukB
P0A799	pgk
P23843	oppA
P0A825	glyA
P08997	aceB
P21513	rne
P0A9W3	ettA
P0A9A6	ftsZ
P0AES6	gyrB
P0A8M3	thrS
P00370	gdhA
P33602	nuoG
P0A9B2	gapA
P15639	purH
P25516	acnA
P00582	polA
P0A853	tnaA
P33599	nuoC
P17846	cysI
P0ABH7	gltA
P0A9C5	glnA
P37685	aldB
P09151	leuA
P37330	glcB
P06149	dld
P0A910	ompA
P0ABB0	atpA
P60422	rplB
P16659	proS
P17169	glmS
P0A6B7	iscS
P27298	prlC
P00452	nrdA
P35340	ahpF
P13035	glpD
P0ADG7	guaB
P0AG30	rho
P0AAI3	ftsH
P0A817	metK
P38038	cysJ
P61889	mdh
P0AD96	livJ
P00350	gnd
P0A7Z4	rpoA
P0AFF6	nusA
Q59385	copA
P0AEE5	mglB
P0A8N3	lysS
P00959	metG
P13009	metH
P0ABK5	cysK
P0AB71	fbaA
P77804	ydgA
P32132	typA
P06971	fhuA
P0ADY1	ppiD
P30850	rnb
P00962	glnS
P0A9P0	lpdA
P0A870	talB
P00934	thrC
P0ACY3	yeaG
P36938	pgm
P68767	pepA
P21177	fadB
P23865	prc
P23845	cysN
P0A786	pyrB
P75691	yahK
P0A8M0	asnS
P0A8L1	serS
P0AEX9	malE
P05791	ilvD
P0ABZ6	surA
P21499	rnr
P77748	ydiJ
P0A7V0	rpsB
P17315	cirA
P00509	aspC
P0AGE9	sucD
P0A836	sucC
P05020	pyrC
P69786	ptsG
P04805	gltX
P0C0V0	degP
P11447	argH
P31554	lptD
P0C8J6	gatY
P06612	topA
P22106	asnB
P11875	argS
P0ABH9	clpA
P33363	bglX
P0A953	fabB
P0A7D4	purA
P08312	pheS
P0A6H1	clpX
P37689	gpmI
P0A6H5	hslU
P24182	accC
Q47146	fadE
P0A7E5	pyrG
P07014	sdhB
P00895	trpE
P0C8J8	gatZ
P26616	maeA
P30958	mfd
P08142	ilvB
P09832	gltD
P0AEM9	fliY
P23721	serC
P02930	tolC
P0AFG6	sucB
P62399	rplE
P0A867	talA
P22259	pckA
P0AC53	zwf
P0ABD5	accA
P08660	lysC
P0ABC7	hflK
P05459	pdxB
P0A7A7	plsB
P38054	cusA
P00944	xylA
P07023	tyrA
P0A6P9	eno
P09169	ompT
P09551	argT
P05825	fepA
P75780	fiu
P18843	nadE
P27302	tktA
P37095	pepB
P0ABP8	deoD
Q46856	yqhD
P0ADE8	ygfZ
P24171	dcp
P0AFK0	pmbA
P27306	sthA
P0A698	uvrA
P31660	prpC
P02931	ompF
P0A7L0	rplA
P02925	rbsB
P37902	gltI
P00550	mtlA
P67910	hldD
P0A9X4	mreB
P0AE06	acrA
P0AEK4	fabI
P18335	argD
P0A879	trpB
P0A903	bamC
P06715	gor
P0AB89	purB
P60906	hisS
P0A796	pfkA
P33195	gcvP
P00490	malP
P02943	lamB
P11454	entF
P0A6A6	leuC
P00562	metL
P31979	nuoF
P06996	ompC
P76116	yncE
P0A858	tpiA
P0A7V3	rpsC
P0AB91	aroG
P0A6K6	deoB
P69441	adk
P69797	manX
P16700	cysP
P21599	pykA
P31120	glmM
P25526	gabD
P00393	ndh
P0AEZ1	metF
P21170	speA
P60785	lepA
P0AGD7	ffh
P0AG90	secD
P45464	lpoA
P0A8J8	rhlB
P60240	rapA
P46837	yhgF
P0AB77	kbl
P0ABT2	dps
P02359	rpsG
P0A9T0	serA
P0A9Q9	asd
P0A991	fbaB
P52697	pgl
P0A7V8	rpsD
P0AB24	efeO
P19926	agp
P0A715	kdsA
P0AEP3	galU
P0AEZ3	minD
P08506	dacC
P0ABJ1	cyoA
P33221	purT
P21165	pepQ
P33136	mdoG
P07004	proA
P06129	btuB
P77735	yajO
P22256	gabT
P0A7I4	prfC
P23830	pssA
P0AE78	corC
P0A7B5	proB
P76578	yfhM
P18956	ggt
P77243	prpD
P0A8F0	upp
P60438	rplC
P0A717	prs
P09372	grpE
P0AEU0	hisJ
P15288	pepD
P0A9D8	dapD
P0A6A3	ackA
P12758	udp
P0ABD3	bfr
P23908	argE
P23836	phoP
P0AC38	aspA
P0ABA6	atpG
P76177	ydgH
P60757	hisG
P00893	ilvI
P0ACC7	glmU
P15034	pepP
P05042	fumC
P77239	cusB
P07650	deoA
Q46829	bglA
P62620	ispG
P18133	pncB
P32176	fdoG
P28635	metQ
P45578	luxS
P02358	rpsF
P0A7W1	rpsE
P0AEQ3	glnH
P33570	tktB
P0AAB6	galF
P04036	dapB
P09424	mtlD
P0AB67	pntB
P0AGJ9	tyrS
P23893	hemL
P07001	pntA
Q46857	dkgA
P15640	purD
P0AE18	map
P15877	gcd
P0A7G6	recA
P37666	ghrB
P0A8W8	yfbU
P76658	hldE
P0A7E1	pyrD
P39342	yjgR
P13482	treA
P04693	tyrB
P09323	nagE
P0A6W9	gshA
P15042	ligA
P37759	rfbB
P0AEI1	miaB
P21507	srmB
P0A749	murA
P0A887	ubiE
P77488	dxs
P07604	tyrR
P00963	asnA
P04968	ilvA
P0AA39	rluC
P62707	gpmA
P0AF96	tabA
P0A7D7	purC
P0AE08	ahpC
P0A6F1	carA
P0A6L0	deoC
P0ACA3	sspA
P0AE52	bcp
P0A855	tolB
P0A9P4	trxB
P25524	codA
P04816	livK
P31224	acrB
P0ACJ8	crp
P0AFG0	nusG
P07012	prfB
P00579	rpoD
P0A877	trpA
P0A9C3	galM
P0AEB2	dacA
P0A6R0	fabH
P39099	degQ
P0ABU2	ychF
P29217	yceH
P37329	modA
P0ABH0	ftsA
P27248	gcvT
P0A6Z1	hscA
P30871	ygiF
P04335	frsA
P0AGC3	slt
P0A9P6	deaD
P00888	aroF
P77718	thiI
P0A9C0	glpA
P63389	yheS
P06993	malT
P00448	sodA
P0AG55	rplF
P0A8M6	yeeX
P0AFK9	potD
P30125	leuB
P64451	ydcL
P30859	artI
P0AAI5	fabF
P06999	pfkB
P76372	wzzB
P06988	hisD
P63224	gmhA
P0AEK2	fabG
P10121	ftsY
P0A6D3	aroA
P76108	ydcS
P0A6T5	folE
P11557	damX
P26646	acuI
P0AEE1	dcrB
P0ADV7	mlaC
P0ABC3	hflC
P00946	manA
P0A993	fbp
P08622	dnaJ
P00954	trpS
P0A8N5	lysU
P00904	trpGD
P0AG80	ugpB
P06986	hisC
P23839	yicC
D9IX93	gsiB
P0A9J8	pheA
P0ACP7	purR
P77211	cusC
P77674	patD
Q46851	gpr
P09147	galE
P0A6V8	glk
P0A8F8	uvrB
P0A847	tgt
P0A6T3	galK
P0A8E1	ycfP
P76015	dhaK
P0ABQ0	coaBC
P30011	nadC
P37747	glf
P0A9U3	ybiT
P08957	hsdM
P0ACQ4	oxyR
P0A6P5	der
P76403	yegQ
P0AAG8	mglA
P69783	crr
P0A8G6	wrbA
P0ADE6	kbp
P0A7W7	rpsH
P0A707	infC
P45523	fkpA
P0AAC0	uspE
P0ABA4	atpH
P0A805	frr
P07003	poxB
P0AAI9	fabD
P0A6Y5	hslO
P31057	panB
P31663	panC
P04425	gshB
P07024	ushA
P06987	hisB
P0A9K3	ybeZ
P0A6C8	argB
P77689	sufD
P0AA16	ompR
P69811	fruB
P0AE12	amn
P60560	guaC
P09127	hemX
P0A6V1	glgC
P06721	metC
P16456	selD
P22188	murE
P21888	cysS
P00935	metB
P25522	mnmE
P02924	araF
P05194	aroD
P37744	rfbA
P39180	flu
P24215	uxuA
P25437	frmA
P69831	gatC
P38489	nfsB
P0AG16	purF
P0A7B1	ppk
P17854	cysH
P16676	cysA
P21156	cysD
P09394	glpQ
P0A6C5	argA
P36979	rlmN
P09053	avtA
P14081	selB
P0A862	tpx
P0ACF8	hns
P0AEZ9	moaB
P0A9Q1	arcA
P68919	rplY
P0ABS1	dksA
P0AC59	grxB
P10384	fadL
P0ABA0	atpF
P0ACJ0	lrp
P0A6X7	ihfA
P37903	uspF
P0A7J7	rplK
P39177	uspG
P0A7X3	rpsI
P28304	qorA
P0A6L2	dapA
P22255	cysQ
P0ACG1	stpA
P0ADN2	yifE
P39325	ytfQ
P0ADW3	yhcB
P37051	purU
P39831	ydfG
P0A8K1	psd
P25906	pdxI
P76113	curA
P30177	ybiB
P77774	bamB
Q46845	yghU
P0A759	nagB
P77444	sufS
P16703	cysM
P0A9Q5	accD
P0AFL3	ppiA
P30178	hcxB
P69451	fadD
P45577	proQ
P0AC02	bamD
P0AG84	yghA
P0AG14	sohB
P00909	trpC
P11446	argC
P29745	pepT
P36767	rdgC
P0AES0	gss
P0A8G3	uxaC
P0AAB4	ubiD
P69805	manZ
P76268	kdgR
P37349	dhaM
P0AAG0	dppD
P39286	rsgA
P08331	cpdB
P0A821	selA
P27249	glnD
P0A6J8	ddlA
P25519	hflX
P0A9F3	cysB
P0A9K7	phoU
P76536	yfeX
P0AFD1	nuoE
P37636	mdtE
P24232	hmp
P77247	hxpB
P0AG20	relA
P37313	dppF
P13024	fdhE
P69776	lpp
P0AED0	uspA
P0A912	pal
P0A7R5	rpsJ
P60624	rplX
P60723	rplD
P0A8E7	yajQ
P0AG44	rplQ
P0A7A9	ppa
P0A7S9	rpsM
P21367	ycaC
P31133	potF
P0ADY3	rplN
P30860	artJ
P31658	hchA
P0AEG4	dsbA
P0ABI8	cyoB
P24186	folD
P0A7Z0	rpiA
P0A8B5	ybaB
P08178	purM
P46130	ybhC
P31142	sseA
P25714	yidC
P77499	sufC
P08244	pyrF
P0A8P3	yggX
P0ABJ9	cydA
P77522	sufB
P0AAT9	ybeL
P23882	fmt
P04846	nlpA
P0A9V1	lptB
P17952	murC
P12008	aroC
P0AF28	narL
P06610	btuE
P0ADG4	suhB
P33920	yejK
P0AFM6	pspA
P75913	ghrA
P0A9D2	gstA
P76143	lsrF
P00547	thrB
P11880	murF
P46853	yhhX
P0ADR8	ppnN
P09030	xthA
P21151	fadA
P0AG82	pstS
P0AEG6	dsbC
P60390	rsmH
P0AET8	hdhA
P0A6D7	aroK
P0ACA7	gstB
P0AF20	nagC
P75823	ltaE
P06983	hemC
P67087	rsmI
P0ACB7	hemY
P02919	mrcB
P0A6J5	dadA
P0A7C2	lexA
P17993	ubiG
P0ADF8	ilvN
P0ACB0	dnaB
P77399	fadJ
P39401	mdoB
P0A894	rapZ
P30126	leuD
P43672	uup
P76097	ydcJ
P42593	fadH
P0A8I3	yaaA
P43329	hrpA
P76027	oppD
P76503	fadI
P0AEJ2	entC
P33940	mqo
P00926	dsdA
P0AEI4	rimO
P76621	glaH
P77318	ydeN
P11458	nadA
P04949	fliC
P0AFH8	osmY
P0A917	ompX
P0A7J3	rplJ
P0AA10	rplM
P0A905	slyB
P0A7F3	pyrI
P0ADB1	osmE
P0A6E6	atpC
P0A9A9	fur
P61517	can
P0C0S1	mscS
P75874	yccU
P0AGE6	chrR
P0AAX8	ybiS
P0A7K6	rplS
P62768	yaeH
P39173	yeaD
P0ABF6	cdd
P0ABU5	elbB
P33232	lldD
P64604	mlaD
P69407	rcsB
P0AF08	mrp
P00960	glyQ
P0AG78	sbp
P0AF18	nagA
P0A8H6	yihI
P0AA43	rsuA
P0AF24	nagD
P45470	yhbO
P0AC86	glgP
P0A6W5	greA
P0A7F6	speD
P0A8X2	yceI
P00894	ilvH
P07623	metAS
P36649	cueO
P0A9M2	hpt
P69924	nrdB
P0AFU8	ribC
P42620	yqjG
P0AEN1	fre
P0ACD4	iscU
P0A9W9	yrdA
P0A8Y5	yidA
P37749	wbbI
P15067	glgX
P0A746	msrB
P52647	ydbK
P0ADT5	ygiC
P0ADI4	entB
P31060	modF
P02918	mrcA
P77485	cusS
P0A6L9	hscB
P29131	ftsN
P39172	znuA
P0A9S3	gatD
P76397	mdtA
P37440	ucpA
P04983	rbsA
P37626	yhiI
P13445	rpoS
P75914	ycdX
P0A9S7	livG
P0A8F4	udk
P09099	xylB
P75863	ycbX
P0A6U3	mnmG
P37387	xylF
P60716	lipA
P0ABF1	pcnB
P00363	frdA
P04391	argI
P0AFC7	nuoB
P68187	malK
P12996	bioB
P77737	oppF
P0C0L2	osmC
P0A7K2	rplL
P0A7R1	rplI
P0A6N4	efp
P0A6G7	clpP
P0A9K9	slyD
P63235	gadC
P0AB80	ilvE
P0A729	yceF
P61714	ribE
P0A800	rpoZ
P23869	ppiB
P77395	cnoX
P0A763	ndk
P0AGJ5	yfiF
P27431	roxA
P60651	speB
P45955	cpoB
P76316	dcyD
P31063	yedD
P0AG51	rpmD
P56262	ysgA
P0A7M2	rpmB
P69503	apt
P12281	moeA
P15078	cstA
P60595	hisH
P77739	yniA
P10371	hisA
P0A780	nusB
P0A6N8	yeiP
P0A9L8	proC
P0A8S1	argP
P75960	cobB
P0ACB2	hemB
P08192	folC
P0A7E9	pyrH
P36659	cbpA
P69425	tatB
P33219	yebF
P0A998	ftnA
P76576	yfgM
P77541	prpB
P04951	kdsB
P08390	usg
P0A7Y0	rnc
P39406	rsmC
P24255	rpoN
P0ADA3	nlpD
P0A8A4	ppsR
P76187	ydhF
P0A9R4	fdx
P15047	entA
P68066	grcA
P45799	nudE
P0A7I7	ribA
P76128	ddpA
P07913	tdh
P0ACP1	cra
P77754	spy
P32705	actP
P0ADT8	ygiM
P75864	rlmL
P19624	pdxA
P0AEC3	arcB
P22333	add
P30870	glnE
P0A9S5	gldA
P0AEW9	fruK
P0A6I3	coaA
P0A7A2	gpmB
P05852	tsaD
P45579	hcxA
P0A9J6	rbsK
P32695	dusA
P21169	speC
P15977	malQ
P0A812	ruvB
P0A9B6	epd
P28904	treC
P30744	sdaB
P08201	nirB
P0AEH5	elaB
P61175	rplV
P0A6F9	groS
P61949	fldA
P0AF93	ridA
P0AG86	secB
P0AEU7	skp
