ids,conc
A5Z2X5,6.34E-05
O13297,1.91E-07
O13516,5.33E-06
O43137,2.40E-06
P00128,4.07E-05
P00358,6.30E-06
P00359,0.000189322
P00410,1.22E-05
P00546,4.09E-06
P00549,3.68E-05
P00560,0.000291996
P00812,2.48E-07
P00815,1.29E-05
P00817,6.38E-05
P00830,0.000162233
P00899,1.96E-06
P00924,0.000126097
P00925,0.000209937
P00927,8.72E-06
P00931,1.07E-05
P00937,3.56E-06
P00950,0.000118055
P01119,2.77E-07
P02309,8.05E-05
P02309,8.05E-05
P02381,1.45E-07
P02406,1.25E-05
P02829,7.04E-06
P02992,1.33E-05
P02994,0.000104804
P02994,0.000104804
P03872,3.64E-06
P03962,2.03E-06
P04046,2.14E-06
P04076,1.77E-05
P04147,1.30E-05
P04161,6.98E-07
P04449,3.17E-05
P04802,3.99E-06
P04803,1.68E-07
P04807,1.26E-05
P04840,7.36E-05
P05317,9.25E-05
P05319,3.47E-05
P05373,6.62E-06
P05626,2.38E-05
P05694,9.12E-05
P05740,2.61E-05
P05743,9.06E-06
P05744,3.86E-06
P05750,4.77E-05
P05756,6.83E-05
P06101,2.37E-06
P06103,2.08E-06
P06105,2.81E-06
P06106,7.11E-05
P06168,0.000123395
P06169,8.55E-05
P06245,8.23E-07
P06633,3.08E-06
P06634,1.55E-05
P06773,3.58E-07
P06776,2.30E-07
P06781,3.97E-07
P06839,8.20E-09
P07149,3.89E-05
P07170,1.56E-05
P07172,1.83E-06
P07213,4.24E-06
P07236,1.57E-07
P07244,1.19E-05
P07245,7.62E-06
P07246,8.92E-06
P07251,7.56E-05
P07255,3.40E-06
P07256,4.50E-05
P07257,7.35E-05
P07258,2.85E-07
P07259,1.17E-05
P07260,6.45E-06
P07264,8.97E-06
P07273,2.03E-06
P07274,5.16E-06
P07275,2.95E-06
P07277,4.34E-06
P07280,1.22E-05
P07281,2.24E-05
P07283,8.32E-06
P07284,1.34E-05
P07285,1.51E-06
P07342,2.91E-05
P07703,2.71E-06
P07807,4.64E-07
P07991,5.83E-06
P08067,9.76E-06
P08425,1.22E-07
P08465,1.54E-06
P08466,1.09E-06
P08524,1.73E-05
P08536,1.63E-05
P08539,6.08E-07
P09032,5.99E-07
P09064,2.26E-06
P09436,5.28E-06
P09624,1.07E-05
P09733,1.25E-05
P09734,1.46E-06
P09938,4.25E-05
P09950,1.20E-06
P0C2H9,1.11E-05
P0CT04,1.54E-06
P10080,9.11E-06
P10507,3.36E-06
P10592,0.000117129
P10614,1.01E-05
P10659,3.86E-06
P10662,1.20E-06
P10834,2.73E-07
