ids,data
Q6C1I4,7.72881E-06
Q6C4R6,2.45262E-06
Q6C1I7,6.20663E-06
Q6CB22,6.75122E-07
Q9B6E8,6.03622E-06
Q9B6E3,5.11243E-06
Q6C002,8.86568E-06
Q6C446,7.23242E-06
Q6C183,2.39232E-06
Q6CF65,7.81193E-06
Q6CDK2,8.04336E-06
Q6CCA1,4.67071E-06
W0TYQ4,6.09988E-06
F2Z685,1.60846E-06
Q6CGX3,3.46399E-06
Q6CHK6,3.07088E-06
Q6CGU2,6.04334E-07
Q6C829,4.82419E-06
Q6CBX2,1.00633E-07
Q6C7Q6,2.52366E-06
Q6C555,8.90016E-06
Q6C076,5.06871E-07
Q6C3F5,2.31626E-06
Q6C0L6,9.36768E-06
Q6CG31,6.15902E-07
Q6CBY7,3.09005E-06
Q6C3P1,3.2733E-06
Q6C5U9,9.31394E-06
Q6C4K9,9.04371E-06
Q6CE28,9.21425E-06
Q6CAV0,7.62029E-06
Q6C1L7,3.92427E-06
Q6C8L9,4.23378E-06
Q6CEI3,7.06149E-06
Q6C3F4,3.59348E-06
Q99155,9.89591E-06
Q6CCC5,7.64314E-06
Q6CEH5,4.12053E-06
Q6C753,9.00405E-06
Q6CD88,1.07019E-07
Q6C3D3,7.82901E-06
Q6CHT2,3.23025E-06
Q6CH17,2.62216E-06
Q6CGT5,4.9336E-06
Q6C200,7.22135E-06
Q6C0N5,2.24705E-07
Q6CAX1,4.35357E-06
Q6C3R2,4.0359E-06
Q6C5C6,2.04774E-06
Q6C8R5,5.51193E-06
Q6C118,5.48944E-06
Q6CH10,8.07567E-06
Q6CD08,9.40733E-06
Q9NSB4,9.45307E-06
Q6C416,8.43449E-06
Q6BZR0,5.43984E-06
Q6CAF2,6.93426E-06
Q6CHP6,9.75861E-06
Q6CER8,3.61723E-06
Q6CDY4,7.85765E-06
Q6C009,8.17561E-06
Q6C3F6,7.02593E-07
Q6CG38,8.37416E-06
Q6C0E6,3.67951E-06
Q6C079,7.16575E-06
Q6C0H4,2.73667E-06
Q6C0D6,2.79765E-06
Q6C7I8,8.75393E-06
Q6C1U8,3.81639E-06
Q6C760,9.45859E-06
Q6C4I3,1.29998E-06
Q6C388,5.09866E-07
Q6CHK3,7.82365E-06
B5FVG7,8.95062E-06
Q6C9W2,2.53977E-06
Q6C495,1.28378E-07
Q6CHI3,6.77733E-06
Q6C1T5,1.84395E-06
Q6CEQ3,1.13397E-07
Q6C9V9,7.48449E-06
Q6C1N2,6.0629E-06
Q6C0B2,4.14071E-06
Q6CE70,4.72171E-06
Q6C6U4,3.32524E-06
Q6C1N7,2.15414E-07
Q6C1F4,7.79964E-06
Q6CCV4,8.31939E-06
Q6CEP5,7.78917E-07
Q6C7T3,1.76265E-06
Q6CFN2,4.32302E-06
Q6CEF6,4.51972E-06
